Time (s),X (m),Y (m),heading
1750496097.350544,0.0,0.0,0.0
1750496097.4851015,0.0,0.0,0.0
1750496097.6171827,0.0,0.0,0.0
1750496097.6850948,0.0,0.0,0.0
1750496097.817221,0.0,0.0,0.0
1750496097.985123,0.0,0.0,0.0
1750496098.0850801,0.0,0.0,0.0
1750496098.217207,0.0,0.0,0.0
1750496098.3505733,0.0,0.0,0.0
1750496098.4838803,0.0,0.0,0.0
1750496098.6172075,0.0,0.0,0.0
1750496098.685083,0.0,0.0,0.0
1750496098.8351147,0.0,0.0,0.0
1750496098.9850812,0.0,0.0,0.0
1750496099.0850797,0.0,0.0,0.0
1750496099.2350855,0.0,0.0,0.0
1750496099.3506184,0.0,0.0,0.0
1750496099.4850965,0.0,0.0,0.0
1750496099.617282,0.0,0.0,0.0
1750496099.7351077,0.0,0.0,0.0
1750496099.8172798,0.0,0.0,0.0
1750496099.9850805,0.0,0.0,0.0
1750496100.0839608,0.0,0.0,0.0
1750496100.235109,0.0,0.0,0.0
1750496100.350615,0.0,0.0,0.0
1750496100.4839585,0.0,0.0,0.0
1750496100.61733,0.0,0.0,0.0
1750496100.6840205,0.0,0.0,0.0
1750496100.8351123,0.0,0.0,0.0
1750496100.9506652,0.0,0.0,0.0
1750496101.0839806,0.0,0.0,0.0
1750496101.2351274,0.0,0.0,0.0
1750496101.350673,0.0,0.0,0.0
1750496101.484029,0.0,0.0,0.0
1750496101.617333,0.0,0.0,0.0
1750496101.7350798,0.0,0.0,0.0
1750496101.8351152,0.0,0.0,0.0
1750496101.9507377,0.0,0.0,0.0
1750496102.084026,0.0,0.0,0.0
1750496102.2351089,0.0,0.0,0.0
1750496102.3506775,0.0,0.0,0.0
1750496102.4840453,0.0,0.0,0.0
1750496102.6174574,0.0,0.0,0.0
1750496102.735112,0.0,0.0,0.0
1750496102.8351107,0.0,0.0,0.0
1750496102.9507291,0.0,0.0,0.0
1750496103.0840936,0.0,0.0,0.0
1750496103.235099,0.0,0.0,0.0
1750496103.350719,0.0,0.0,0.0
1750496103.484074,0.0,0.0,0.0
1750496103.6174507,0.0,0.0,0.0
1750496103.7351804,0.0,0.0,0.0
1750496103.8351386,0.0,0.0,0.0
1750496103.9507685,0.0,0.0,0.0
1750496104.084077,0.0,0.0,0.0
1750496104.2351656,0.0,0.0,0.0
1750496104.3507683,0.0,0.0,0.0
1750496104.4840994,0.0,0.0,0.0
1750496104.6174588,0.0,0.0,0.0
1750496104.735172,0.0,0.0,0.0
1750496104.8351593,0.0,0.0,0.0
1750496104.9507864,0.0,0.0,0.0
1750496105.0841045,0.0,0.0,0.0
1750496105.23519,0.0,0.0,0.0
1750496105.350803,0.0,0.0,0.0
1750496105.484113,0.0,0.0,0.0
1750496105.6174808,0.0,0.0,0.0
1750496105.7351193,0.0,0.0,0.0
1750496105.8352122,0.0,0.0,0.0
1750496105.9508474,0.0,0.0,0.0
1750496106.084199,0.0,0.0,0.0
1750496106.2352133,0.0,0.0,0.0
1750496106.3508403,0.0,0.0,0.0
1750496106.484186,0.0,0.0,0.0
1750496106.617537,0.0,0.0,0.0
1750496106.7352054,0.0,0.0,0.0
1750496106.8352144,0.0,0.0,0.0
1750496106.9508517,0.0,0.0,0.0
1750496107.0841942,0.0,0.0,0.0
1750496107.2351584,0.0,0.0,0.0
1750496107.3509133,0.0,0.0,0.0
1750496107.4842088,0.0,0.0,0.0
1750496107.6175523,0.0,0.0,0.0
1750496107.7351766,0.0,0.0,0.0
1750496107.8352058,0.0,0.0,0.0
1750496107.9508889,0.0,0.0,0.0
1750496108.0842307,0.0,0.0,0.0
1750496108.2351882,0.0,0.0,0.0
1750496108.3508952,0.0,0.0,0.0
1750496108.4842343,0.0,0.0,0.0
1750496108.6175969,0.0,0.0,0.0
1750496108.735161,0.0,0.0,0.0
1750496108.835172,0.0,0.0,0.0
1750496108.9509652,0.0,0.0,0.0
1750496109.0842817,0.0,0.0,0.0
1750496109.2351794,0.0,0.0,0.0
1750496109.3509703,0.0,0.0,0.0
1750496109.4843185,0.0,0.0,0.0
1750496109.6176393,0.0,0.0,0.0
1750496109.7351773,0.0,0.0,0.0
1750496109.835236,0.0,0.0,0.0
1750496109.9851868,0.0,0.0,0.0
1750496110.0843306,0.0,0.0,0.0
1750496110.2352202,0.0,0.0,0.0
1750496110.3510807,0.0,0.0,0.0
1750496110.4852362,0.0,0.0,0.0
1750496110.617665,0.0,0.0,0.0
1750496110.7351723,0.0,0.0,0.0
1750496110.8176627,0.0,0.0,0.0
1750496110.9510531,0.0,0.0,0.0
1750496111.08438,0.0,0.0,0.0
1750496111.217648,0.0,0.0,0.0
1750496111.3510575,0.0,0.0,0.0
1750496111.4843931,0.0,0.0,0.0
1750496111.6177118,0.0,0.0,0.0
1750496111.68522,0.0,0.0,0.0
1750496111.8177052,0.0,0.0,0.0
1750496111.9851265,0.0,0.0,0.0
1750496112.085239,0.0,0.0,0.0
1750496112.2177227,0.0,0.0,0.0
1750496112.3510678,0.0,0.0,0.0
1750496112.4852672,0.0,0.0,0.0
1750496112.6177304,0.0,0.0,0.0
1750496112.6852467,0.0,0.0,0.0
1750496112.8177485,0.0,0.0,0.0
1750496112.9852545,0.0,0.0,0.0
1750496113.0852447,0.0,0.0,0.0
1750496113.2178013,0.0,0.0,0.0
1750496113.3510952,0.0,0.0,0.0
1750496113.4852471,0.0,0.0,0.0
1750496113.6178067,0.0,0.0,0.0
1750496113.6852303,0.0,0.0,0.0
1750496113.8177736,0.0,0.0,0.0
1750496113.9851477,0.0,0.0,0.0
1750496114.085277,0.0,0.0,0.0
1750496114.2177887,0.0,0.0,0.0
1750496114.351136,0.0,0.0,0.0
1750496114.4852731,0.0,0.0,0.0
1750496114.6178012,0.0,0.0,0.0
1750496114.6853588,0.0,0.0,0.0
1750496114.8178418,0.0,0.0,0.0
1750496114.98528,0.0,0.0,0.0
1750496115.0852778,0.0,0.0,0.0
1750496115.2178485,0.0,0.0,0.0
1750496115.3511658,0.0,0.0,0.0
1750496115.4853013,0.0,0.0,0.0
1750496115.6178393,0.0,0.0,0.0
1750496115.6852777,0.0,0.0,0.0
1750496115.817885,0.0,0.0,0.0
1750496115.985173,0.0,0.0,0.0
1750496116.085288,0.0,0.0,0.0
1750496116.2178571,0.0,0.0,0.0
1750496116.3512206,0.0,0.0,0.0
1750496116.485305,0.0,0.0,0.0
1750496116.6178777,0.0,0.0,0.0
1750496116.685318,0.0,0.0,0.0
1750496116.8179493,0.0,0.0,0.0
1750496116.9852538,0.0,0.0,0.0
1750496117.0852902,0.0,0.0,0.0
1750496117.217899,0.0,0.0,0.0
1750496117.3512676,0.0,0.0,0.0
1750496117.485288,0.0,0.0,0.0
1750496117.5851715,0.0,0.0,0.0
1750496117.6852596,0.0,0.0,0.0
1750496117.817923,0.0,0.0,0.0
1750496117.9851964,0.0,0.0,0.0
1750496118.0852525,0.0,0.0,0.0
1750496118.2179472,0.0,0.0,0.0
1750496118.3513064,0.0,0.0,0.0
1750496118.485266,0.0,0.0,0.0
1750496118.617936,0.0,0.0,0.0
1750496118.6852324,0.0,0.0,0.0
1750496118.8179662,0.0,0.0,0.0
1750496118.9852366,0.0,0.0,0.0
1750496119.0852962,0.0,0.0,0.0
1750496119.2179828,0.0,0.0,0.0
1750496119.3513844,0.0,0.0,0.0
1750496119.48532,0.0,0.0,0.0
1750496119.617986,0.0,0.0,0.0
1750496119.6852517,0.0,0.0,0.0
1750496119.8180282,0.0,0.0,0.0
1750496119.9852128,0.0,0.0,0.0
1750496120.0853229,0.0,0.0,0.0
1750496120.218047,0.0,0.0,0.0
1750496120.3513384,0.0,0.0,0.0
1750496120.485308,0.0,0.0,0.0
1750496120.6180303,0.0,0.0,0.0
1750496120.685375,0.0,0.0,0.0
