Time (s),X (m),Y (m),heading
1750496096.7504668,0.0,0.0,0.0
1750496096.817195,0.0,0.0,0.0
1750496096.883817,0.0,0.0,0.0
1750496096.9505117,0.0,0.0,0.0
1750496097.0171583,0.0,0.0,0.0
1750496097.083814,0.0,0.0,0.0
1750496097.1505084,0.0,0.0,0.0
1750496097.2172024,0.0,0.0,0.0
1750496097.2838876,0.0,0.0,0.0
1750496097.350544,0.0,0.0,0.0
1750496097.4172223,0.0,0.0,0.0
1750496097.4838655,0.0,0.0,0.0
1750496097.5504918,0.0,0.0,0.0
1750496097.6171827,0.0,0.0,0.0
1750496097.683856,0.0,0.0,0.0
1750496097.7505352,0.0,0.0,0.0
1750496097.817221,0.0,0.0,0.0
1750496097.8838475,0.0,0.0,0.0
1750496097.9505272,0.0,0.0,0.0
1750496098.0172253,0.0,0.0,0.0
1750496098.08388,0.0,0.0,0.0
1750496098.1505377,0.0,0.0,0.0
1750496098.217207,0.0,0.0,0.0
1750496098.283884,0.0,0.0,0.0
1750496098.3505733,0.0,0.0,0.0
1750496098.4172378,0.0,0.0,0.0
1750496098.4838803,0.0,0.0,0.0
1750496098.5505533,0.0,0.0,0.0
1750496098.6172075,0.0,0.0,0.0
1750496098.6838984,0.0,0.0,0.0
1750496098.7505555,0.0,0.0,0.0
1750496098.8172383,0.0,0.0,0.0
1750496098.8839126,0.0,0.0,0.0
1750496098.9505596,0.0,0.0,0.0
1750496099.0172408,0.0,0.0,0.0
1750496099.083884,0.0,0.0,0.0
1750496099.150619,0.0,0.0,0.0
1750496099.2172706,0.0,0.0,0.0
1750496099.2839131,0.0,0.0,0.0
1750496099.3506184,0.0,0.0,0.0
1750496099.4172456,0.0,0.0,0.0
1750496099.483976,0.0,0.0,0.0
1750496099.5505838,0.0,0.0,0.0
1750496099.617282,0.0,0.0,0.0
1750496099.6844785,0.0,0.0,0.0
1750496099.7506223,0.0,0.0,0.0
1750496099.8172798,0.0,0.0,0.0
1750496099.8839548,0.0,0.0,0.0
1750496099.9506073,0.0,0.0,0.0
1750496100.0173323,0.0,0.0,0.0
1750496100.0839608,0.0,0.0,0.0
1750496100.1506138,0.0,0.0,0.0
1750496100.217282,0.0,0.0,0.0
1750496100.2839592,0.0,0.0,0.0
1750496100.350615,0.0,0.0,0.0
1750496100.4173114,0.0,0.0,0.0
1750496100.4839585,0.0,0.0,0.0
1750496100.5506208,0.0,0.0,0.0
1750496100.61733,0.0,0.0,0.0
1750496100.6840205,0.0,0.0,0.0
1750496100.7506127,0.0,0.0,0.0
1750496100.817309,0.0,0.0,0.0
1750496100.883981,0.0,0.0,0.0
1750496100.9506652,0.0,0.0,0.0
1750496101.0173311,0.0,0.0,0.0
1750496101.0839806,0.0,0.0,0.0
1750496101.150655,0.0,0.0,0.0
1750496101.2173264,0.0,0.0,0.0
1750496101.2839885,0.0,0.0,0.0
1750496101.350673,0.0,0.0,0.0
1750496101.4173594,0.0,0.0,0.0
1750496101.484029,0.0,0.0,0.0
1750496101.5506606,0.0,0.0,0.0
1750496101.617333,0.0,0.0,0.0
1750496101.6839821,0.0,0.0,0.0
1750496101.7506828,0.0,0.0,0.0
1750496101.8173525,0.0,0.0,0.0
1750496101.8840513,0.0,0.0,0.0
1750496101.9507377,0.0,0.0,0.0
1750496102.017371,0.0,0.0,0.0
1750496102.084026,0.0,0.0,0.0
1750496102.1506937,0.0,0.0,0.0
1750496102.2173662,0.0,0.0,0.0
1750496102.2840433,0.0,0.0,0.0
1750496102.3506775,0.0,0.0,0.0
1750496102.4173748,0.0,0.0,0.0
1750496102.4840453,0.0,0.0,0.0
1750496102.5507195,0.0,0.0,0.0
1750496102.6174574,0.0,0.0,0.0
1750496102.684061,0.0,0.0,0.0
1750496102.7507036,0.0,0.0,0.0
1750496102.817425,0.0,0.0,0.0
1750496102.8840477,0.0,0.0,0.0
1750496102.9507291,0.0,0.0,0.0
1750496103.01741,0.0,0.0,0.0
1750496103.0840936,0.0,0.0,0.0
1750496103.1507201,0.0,0.0,0.0
1750496103.2174203,0.0,0.0,0.0
1750496103.284056,0.0,0.0,0.0
1750496103.350719,0.0,0.0,0.0
1750496103.4174285,0.0,0.0,0.0
1750496103.484074,0.0,0.0,0.0
1750496103.550759,0.0,0.0,0.0
1750496103.6174507,0.0,0.0,0.0
1750496103.6841109,0.0,0.0,0.0
1750496103.750756,0.0,0.0,0.0
1750496103.8174267,0.0,0.0,0.0
1750496103.8841143,0.0,0.0,0.0
1750496103.9507685,0.0,0.0,0.0
1750496104.017413,0.0,0.0,0.0
1750496104.084077,0.0,0.0,0.0
1750496104.1508114,0.0,0.0,0.0
1750496104.217448,0.0,0.0,0.0
1750496104.2840934,0.0,0.0,0.0
1750496104.3507683,0.0,0.0,0.0
1750496104.417456,0.0,0.0,0.0
1750496104.4840994,0.0,0.0,0.0
1750496104.5507789,0.0,0.0,0.0
1750496104.6174588,0.0,0.0,0.0
1750496104.6841252,0.0,0.0,0.0
1750496104.7508035,0.0,0.0,0.0
1750496104.8174765,0.0,0.0,0.0
1750496104.8841054,0.0,0.0,0.0
1750496104.9507864,0.0,0.0,0.0
1750496105.017473,0.0,0.0,0.0
1750496105.0841045,0.0,0.0,0.0
1750496105.150835,0.0,0.0,0.0
1750496105.2174659,0.0,0.0,0.0
1750496105.2841287,0.0,0.0,0.0
1750496105.350803,0.0,0.0,0.0
1750496105.417524,0.0,0.0,0.0
1750496105.484113,0.0,0.0,0.0
1750496105.5508542,0.0,0.0,0.0
1750496105.6174808,0.0,0.0,0.0
1750496105.6841533,0.0,0.0,0.0
1750496105.7508297,0.0,0.0,0.0
1750496105.817499,0.0,0.0,0.0
1750496105.8841639,0.0,0.0,0.0
1750496105.9508474,0.0,0.0,0.0
1750496106.0174944,0.0,0.0,0.0
1750496106.084199,0.0,0.0,0.0
1750496106.1508315,0.0,0.0,0.0
1750496106.2175121,0.0,0.0,0.0
1750496106.2841942,0.0,0.0,0.0
1750496106.3508403,0.0,0.0,0.0
1750496106.4175222,0.0,0.0,0.0
1750496106.484186,0.0,0.0,0.0
1750496106.5508382,0.0,0.0,0.0
1750496106.617537,0.0,0.0,0.0
1750496106.684196,0.0,0.0,0.0
1750496106.7508636,0.0,0.0,0.0
1750496106.817545,0.0,0.0,0.0
1750496106.8841882,0.0,0.0,0.0
1750496106.9508517,0.0,0.0,0.0
1750496107.0175421,0.0,0.0,0.0
1750496107.0841942,0.0,0.0,0.0
1750496107.150877,0.0,0.0,0.0
1750496107.2175484,0.0,0.0,0.0
1750496107.2842152,0.0,0.0,0.0
1750496107.3509133,0.0,0.0,0.0
1750496107.4175382,0.0,0.0,0.0
1750496107.4842088,0.0,0.0,0.0
1750496107.5508966,0.0,0.0,0.0
1750496107.6175523,0.0,0.0,0.0
1750496107.68424,0.0,0.0,0.0
1750496107.7509305,0.0,0.0,0.0
1750496107.8175635,0.0,0.0,0.0
1750496107.884252,0.0,0.0,0.0
1750496107.9508889,0.0,0.0,0.0
1750496108.0175807,0.0,0.0,0.0
1750496108.0842307,0.0,0.0,0.0
1750496108.1509123,0.0,0.0,0.0
1750496108.2175696,0.0,0.0,0.0
1750496108.2842362,0.0,0.0,0.0
1750496108.3508952,0.0,0.0,0.0
1750496108.4176104,0.0,0.0,0.0
1750496108.4842343,0.0,0.0,0.0
1750496108.5509195,0.0,0.0,0.0
1750496108.6175969,0.0,0.0,0.0
1750496108.6842637,0.0,0.0,0.0
1750496108.7509456,0.0,0.0,0.0
1750496108.8175998,0.0,0.0,0.0
1750496108.8842394,0.0,0.0,0.0
1750496108.9509652,0.0,0.0,0.0
1750496109.0175774,0.0,0.0,0.0
1750496109.0842817,0.0,0.0,0.0
1750496109.1509585,0.0,0.0,0.0
1750496109.2176213,0.0,0.0,0.0
1750496109.2842927,0.0,0.0,0.0
1750496109.3509703,0.0,0.0,0.0
1750496109.417614,0.0,0.0,0.0
1750496109.4843185,0.0,0.0,0.0
1750496109.5510118,0.0,0.0,0.0
1750496109.6176393,0.0,0.0,0.0
1750496109.6843393,0.0,0.0,0.0
1750496109.7509763,0.0,0.0,0.0
1750496109.817629,0.0,0.0,0.0
1750496109.8843055,0.0,0.0,0.0
1750496109.951081,0.0,0.0,0.0
1750496110.0176368,0.0,0.0,0.0
1750496110.0843306,0.0,0.0,0.0
1750496110.1509814,0.0,0.0,0.0
1750496110.2176502,0.0,0.0,0.0
